reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPJtjHQwvQa,Ugz5scn3B1_QfU8tXth4AaABAg,UC_AV36lMVezavwd4xxvacZw,2025-11-09T20:53:16Z,2025-11-09T20:53:16Z,6,he js had lucky bounces lmao and defenders were making mistakes 😂,cZuKoVpIc9E,0.8126
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPJuyXV5caI,Ugz5scn3B1_QfU8tXth4AaABAg,UCoE3Xl2s-DgYAc6AEZ2UvsQ,2025-11-09T21:04:05Z,2025-11-09T21:04:05Z,20,Yeah interesting how Pep was playing him more centrally and Oreily was further wide. Doku was lethal.,cZuKoVpIc9E,0.6908
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPJwd0j-SU9,Ugz5scn3B1_QfU8tXth4AaABAg,UCT64AmFrkCJ6iBeB5bhozCw,2025-11-09T21:18:37Z,2025-11-09T21:18:37Z,19,@MaliciousMo2cry much… 😭😭,cZuKoVpIc9E,-0.7351
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPJxB3q34Ny,Ugz5scn3B1_QfU8tXth4AaABAg,UC6-v2WrS35EQ-BDpJ5KzpiQ,2025-11-09T21:23:24Z,2025-11-09T21:23:24Z,30,​@MaliciousMo2Holy cope😂 Just admit Doku was all over your abysmal defense today.,cZuKoVpIc9E,0.6369
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPJyiZkzX-h,Ugz5scn3B1_QfU8tXth4AaABAg,UCOexXwrdrVVZ1HgMDVs1XuA,2025-11-09T21:36:51Z,2025-11-09T21:36:51Z,22,I would watch doku over yamal anyday,cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPK5FpI6c70,Ugz5scn3B1_QfU8tXth4AaABAg,UCL0DCGSRMSH6r3fOBo-6GPQ,2025-11-09T22:42:42Z,2025-11-09T22:42:42Z,10,"love watching him, he needs the ball more",cZuKoVpIc9E,0.6369
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPK9v5c_kUN,Ugz5scn3B1_QfU8tXth4AaABAg,UCqy4hc0zQj0-jCJDfYmNvwQ,2025-11-09T23:23:25Z,2025-11-09T23:23:25Z,1,@moonas5congrats?,cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKH2Qjpe0r,Ugz5scn3B1_QfU8tXth4AaABAg,UCEwoycHCO-JMMyp-jEoqZWQ,2025-11-10T00:25:43Z,2025-11-10T00:25:43Z,4,absolutely absolutely,cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKMnEIKppO,Ugz5scn3B1_QfU8tXth4AaABAg,UCrtjENdQljuVXFp4c7vfNLA,2025-11-10T01:15:56Z,2025-11-10T01:15:56Z,5,Not a city fan but I'm glad Doku comes that fraudulent dirty player Bradley Liverpool fans hype him up but he's really mediocre,cZuKoVpIc9E,-0.6839
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKRu6nY_PS,Ugz5scn3B1_QfU8tXth4AaABAg,UCtSEz9aiBSjHxQHcauZpTwg,2025-11-10T02:00:34Z,2025-11-10T02:00:34Z,0,@diegom9271yessir thank you,cZuKoVpIc9E,0.3612
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKTcl_8Qnd,Ugz5scn3B1_QfU8tXth4AaABAg,UCcz8bn4RMRuwQ-BVsCDd1HA,2025-11-10T02:15:41Z,2025-11-10T02:15:41Z,1,@MaliciousMo2what about the 3rd goal lmao,cZuKoVpIc9E,0.5994
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKTxslsxoW,Ugz5scn3B1_QfU8tXth4AaABAg,UCJS0z-zVfKT-7jgEIt85HSA,2025-11-10T02:18:34Z,2025-11-10T02:18:34Z,3,IlL say it again ... slott ia whack. Liverpool better start looking for a new boss,cZuKoVpIc9E,0.0258
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKYH86g33Y,Ugz5scn3B1_QfU8tXth4AaABAg,UCiXYXswbVP6bRpVGHFDJCHQ,2025-11-10T02:56:17Z,2025-11-10T02:56:17Z,1,"​@Gidixq Doku's been taking up central spaces more often this season, finally. Been wanting it since January.",cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKZYdxNbiv,Ugz5scn3B1_QfU8tXth4AaABAg,UCJDvAZ340nDYNtrGLWWgADg,2025-11-10T03:07:25Z,2025-11-10T03:07:25Z,1,@MaliciousMo2crying😭😭,cZuKoVpIc9E,-0.7351
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKhH0llze3,Ugz5scn3B1_QfU8tXth4AaABAg,UCs16lUtJsWmxjEHD3qeA3OA,2025-11-10T04:23:39Z,2025-11-10T04:23:39Z,0,@Gidixq wtf game where you watching?,cZuKoVpIc9E,-0.5859
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPKjFXn-ta6,Ugz5scn3B1_QfU8tXth4AaABAg,UC0x5TimAiOE15-K_PHkouPQ,2025-11-10T04:40:55Z,2025-11-10T04:40:55Z,2,@MaliciousMo2 UR mad that liVARpool is getting less breaks by the cheating refs that have cheated on their behalf for too long.,cZuKoVpIc9E,-0.8779
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPLFOY4b07O,Ugz5scn3B1_QfU8tXth4AaABAg,UCBLzqON71jWX7X3YTnOifsw,2025-11-10T09:30:30Z,2025-11-10T09:30:30Z,0,Doku is selfish and jealous of Haaland!,cZuKoVpIc9E,-0.75
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPLoSHnNzNv,Ugz5scn3B1_QfU8tXth4AaABAg,UCxqZIGlozFuFtO7ysJ-JdYA,2025-11-10T14:45:35Z,2025-11-10T14:45:35Z,0,@moonas5I hate Barcelona but that’s the most ridiculous thing I’ve heard anyone say all year. You have no ball knowledge and should stop watching the sport,cZuKoVpIc9E,-0.8919
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPMRSMB3YJF,Ugz5scn3B1_QfU8tXth4AaABAg,UCOexXwrdrVVZ1HgMDVs1XuA,2025-11-10T20:35:08Z,2025-11-10T20:35:08Z,0,​@reyess.ortegaa id rather watch him not have him in my team.,cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPNL3p0g_9u,Ugz5scn3B1_QfU8tXth4AaABAg,UC_tx0KphteGqhtQCpFJuM5A,2025-11-11T04:58:35Z,2025-11-11T04:58:35Z,0,"Doing what sane did to LiVARpool for city, owning them",cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPQstr4B4sX,Ugz5scn3B1_QfU8tXth4AaABAg,UCPhS9_mC8fC7HF-hCcvkKpA,2025-11-12T14:00:39Z,2025-11-12T14:00:39Z,0,WHAT DID HE? Refs helpin people and y'all talkin about RIPPED?,cZuKoVpIc9E,0.0
Ugz5scn3B1_QfU8tXth4AaABAg.APJlJuo1-hsAPv7uoFpJcN,Ugz5scn3B1_QfU8tXth4AaABAg,UCtcv9HgEWYKa4pXmoqEsN5w,2025-11-24T17:17:03Z,2025-11-24T17:17:03Z,0,@MaliciousMo2 cry,cZuKoVpIc9E,-0.4767
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPK-4mTID1o,UgywDz6gNjkevUp4bz14AaABAg,UCVGRS_olTJhBLbV9hnKQO0A,2025-11-09T21:48:45Z,2025-11-09T21:48:45Z,0,Who was he talking about 😂,cZuKoVpIc9E,0.4404
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPK2WZ-RdWm,UgywDz6gNjkevUp4bz14AaABAg,UC_kJWzbrTlCsoOAVtWUMQeQ,2025-11-09T22:18:46Z,2025-11-09T22:18:46Z,54,He should have said “Håland scores..with a face not even a mother could love”,cZuKoVpIc9E,0.0
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPKHorNizpA,UgywDz6gNjkevUp4bz14AaABAg,UCBRgvPcyIbLoaq1Bb3rFB_g,2025-11-10T00:32:28Z,2025-11-10T00:32:28Z,0,@paulosberhane1770Haaland Goal,cZuKoVpIc9E,0.0
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPKiT2GgZjR,UgywDz6gNjkevUp4bz14AaABAg,UCSMWn03RdesB7MvjsJ7qV5g,2025-11-10T04:34:02Z,2025-11-10T04:34:02Z,2,That WAS kinda savage. LMAO!,cZuKoVpIc9E,0.4478
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPLCmSrU_Ge,UgywDz6gNjkevUp4bz14AaABAg,UCJP_d7qu_7m925WnDQo3lNQ,2025-11-10T09:07:42Z,2025-11-10T09:07:42Z,1,😊,cZuKoVpIc9E,0.7184
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPL_ZtLUfNs,UgywDz6gNjkevUp4bz14AaABAg,UCHMheWZdqvsHq_w83LpPszw,2025-11-10T12:35:34Z,2025-11-10T12:35:34Z,3,Perfect commentary for bighead boy.,cZuKoVpIc9E,0.5719
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPLcaIdM71D,UgywDz6gNjkevUp4bz14AaABAg,UCtdA7WHpoa1O7ahKP0jYILw,2025-11-10T13:01:58Z,2025-11-10T13:01:58Z,1,😂😂😂,cZuKoVpIc9E,0.8271
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPMJ5bsl3gn,UgywDz6gNjkevUp4bz14AaABAg,UC-MUJGQE7sXqnLKTqtZNlzA,2025-11-10T19:22:07Z,2025-11-10T19:22:07Z,2,Especially when you could project a movie on Van Dyke’s forehead 😄,cZuKoVpIc9E,0.6705
UgywDz6gNjkevUp4bz14AaABAg.APJs3Dfnz0TAPMcQs20ODd,UgywDz6gNjkevUp4bz14AaABAg,UCgxlb3tIDtL0Jcxbwv3CuoA,2025-11-10T22:19:47Z,2025-11-10T22:19:47Z,0,@paulosberhane1770 me :(,cZuKoVpIc9E,-0.4404
Ugz5--3vg-OtpdlbL414AaABAg.APJkhg5d0VcAPJmOrpzQtw,Ugz5--3vg-OtpdlbL414AaABAg,UCoZzlk0OhSWJgaA5ACz1OrA,2025-11-09T19:49:10Z,2025-11-09T19:49:10Z,209,Grealish always turning back and not going fwd doku is a more a player to go fwd and take on player's,cZuKoVpIc9E,0.0
