reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAHpS2tDLbQU,UgwFC9S9cn9lwPZ94YV4AaABAg,UCzqB4FzFOZLyWItQZCa9oKA,2025-05-07T16:06:27Z,2025-05-07T16:06:27Z,7,"I mean, isn't that what hes saying",KPz1ZgocW8c,0.0
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAHpSapa8lzs,UgwFC9S9cn9lwPZ94YV4AaABAg,UCD_t6r9zUHaZFLK9nYThLww,2025-05-07T16:11:13Z,2025-05-07T16:11:13Z,9,Gino 😂😂😂,KPz1ZgocW8c,0.8271
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAHr3kG8Q2Qf,UgwFC9S9cn9lwPZ94YV4AaABAg,UCRqu33b8dLcn86wXckCIUvw,2025-05-08T07:12:32Z,2025-05-08T07:12:32Z,1,James Redmond a legend,KPz1ZgocW8c,0.0
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAHxh_tLmOkY,UgwFC9S9cn9lwPZ94YV4AaABAg,UCrIGyCr6Kvy0Nm8t-TgOpCQ,2025-05-10T21:04:50Z,2025-05-10T21:04:50Z,0,Yes gino,KPz1ZgocW8c,0.4019
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAHz7HY-iwJ1,UgwFC9S9cn9lwPZ94YV4AaABAg,UCA7tqDbRx2-jk2O5Us10JaQ,2025-05-11T10:17:21Z,2025-05-11T10:17:21Z,0,Haha hilarious I’ve not heard that 1000 times,KPz1ZgocW8c,0.6908
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAIayAEoYnw9,UgwFC9S9cn9lwPZ94YV4AaABAg,UC49wRTVgsviKrsWKKAArC1Q,2025-05-26T21:38:36Z,2025-05-26T21:38:36Z,0,😂😂😂.. so apt,KPz1ZgocW8c,0.8271
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjALrcdXpjWXH,UgwFC9S9cn9lwPZ94YV4AaABAg,UCUxKMwj83tIevFWf6llqQ7Q,2025-08-15T22:31:46Z,2025-08-15T22:31:46Z,1,@samimario9906 I heard she WAS a bike but without wheels !!! 😂😂😂,KPz1ZgocW8c,0.925
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAMGQpHVqO2P,UgwFC9S9cn9lwPZ94YV4AaABAg,UCix_rOzpfTushTzTK_i3xag,2025-08-25T23:00:02Z,2025-08-25T23:00:02Z,1,What a complete tool,KPz1ZgocW8c,0.0
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAMH7rl5UEOc,UgwFC9S9cn9lwPZ94YV4AaABAg,UCvhgu4ArG4gtfao6I77l3tA,2025-08-26T05:33:35Z,2025-08-26T05:33:35Z,0,"​@apexheat6553 
It is, though",KPz1ZgocW8c,0.0
UgwFC9S9cn9lwPZ94YV4AaABAg.AHpRaXdg2NjAN3V0gT6qnD,UgwFC9S9cn9lwPZ94YV4AaABAg,UCRk-caQEjI3gOAO3R-MV8Iw,2025-09-14T18:57:57Z,2025-09-14T18:57:57Z,0,😂😂 ynwa,KPz1ZgocW8c,0.7003
