video_id,comment_id,author_channel_id,published_at,updated_at,like_count,reply_count,text,sent_compound
cWgBs2I51_w,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UCZ3TgfzASPCa89h5Nb7T6FA,2025-10-19T19:17:58Z,2025-10-19T19:17:58Z,4549,36,"Maguire, once a meme, now a legend",0.0
cWgBs2I51_w,Ugztmro7rxgEovHvpgl4AaABAg,UCb01tmImRBD5t0Q9Eza5_0w,2025-10-19T18:46:54Z,2025-10-19T18:46:54Z,2394,10,Ain’t no way harry maguire scored at anfield before 150m Wirtz and Isak 😂😂😂😂,0.8555
cWgBs2I51_w,UgxWvk-vPbrYeHwEmw94AaABAg,UCMxs6HCKMhTDw3UMWOEDxFg,2025-10-19T18:24:26Z,2025-10-19T18:24:26Z,2615,20,Someone clip Neville’s moan when Maguire scored 😂,0.3182
cWgBs2I51_w,Ugzhdb8Jjr8r_D0pGRR4AaABAg,UC6jI36Xe55bt8Aq8TAj4QqA,2025-10-19T18:24:02Z,2025-10-19T18:24:02Z,1827,10,Poetic that Maguire who skied the winner at 2-2 last year at the same fixture and venue scores the winner today. Class player with a top tier mentality man.,0.8555
cWgBs2I51_w,UgxFgvZ1FASnwdfgziV4AaABAg,UCxCY0buhXFCZ7HkaKsOhHbg,2025-10-19T19:45:05Z,2025-10-19T19:45:05Z,338,3,"😂 When McGuire slid, I expected him to keep sliding like that one GEICO commercial.",0.6597
cWgBs2I51_w,Ugx4mg7PjClLrUPPv6J4AaABAg,UC_am1UtbaakO_iThbMX5u1A,2025-10-19T18:22:35Z,2025-10-19T18:22:35Z,2312,23,"Fantastic performance by United 
10 years without a win in Anfield is over",0.5152
cWgBs2I51_w,UgxKc2v1RqC8NWT_IQ94AaABAg,UCYzNkqrCudye0KxSifdAM6A,2025-10-19T18:23:15Z,2025-10-19T18:23:25Z,1235,24,crazy that a few seasons ago Harry Maguire was one of the most despised players at Man U and now he's one of our biggest game changers,-0.659
cWgBs2I51_w,UgwZi5qITWovbfQkiPN4AaABAg,UCpXPRi4m6fH7jpdKQUD9A2g,2025-10-19T18:22:21Z,2025-10-19T18:22:21Z,1254,12,"Well, he finally won two straight Premier League matches…",0.7717
cWgBs2I51_w,UgzARBlKe2J7Ho9kmdd4AaABAg,UCQuNUCmrv5zsdBZAs2vd9Eg,2025-10-19T18:28:13Z,2025-10-19T18:28:13Z,814,22,Isak is walking alone 😂😂😂,0.7717
cWgBs2I51_w,Ugy8Sg1-hYJk9ompi-Z4AaABAg,UC2HgoSZ_IjUbhPVgNq2XH5Q,2025-10-19T19:00:12Z,2025-10-19T19:00:12Z,260,1,I laughed so hard when Maguire scored. You had this whole string of Liverpool highlights and they finally score only to fall behind again. Also that cross is unbelievable,0.4467
cWgBs2I51_w,UgxEyAjh6rR3t-PZjyh4AaABAg,UCMxs6HCKMhTDw3UMWOEDxFg,2025-10-19T18:23:30Z,2025-10-19T18:23:30Z,732,29,"Everyone is surprised, but Liverpool have played terrible relying on last minute goals and now their luck has run out",0.5267
cWgBs2I51_w,UgysBxMveKRsggfhuYJ4AaABAg,UCuSkqCenKXTppYnok9AlhbQ,2025-10-19T18:34:27Z,2025-10-19T18:34:27Z,324,6,The Manchester United fan is about to get his haircut soon 👀,0.6249
cWgBs2I51_w,UgyjN2dVV5UciVvkXid4AaABAg,UCuquBqcRaLlz8jKCupvQB6g,2025-10-19T18:22:45Z,2025-10-19T18:27:56Z,630,6,Manchester United’s first win at anfield since 2016! Get in!🔴,0.658
cWgBs2I51_w,Ugx2cDqfCPo5WrHbDFR4AaABAg,UC20PEP7Kh86vdwY6V-ATzFA,2025-10-19T18:52:19Z,2025-10-19T18:52:19Z,304,4,"@2:15 the commentator is perplexed by the fact the ManU actually scored lol. 

“What a start for Li… Manchester United”",0.128
cWgBs2I51_w,Ugx5ie80Jw3bKK-jRS94AaABAg,UCuSkqCenKXTppYnok9AlhbQ,2025-10-19T18:55:04Z,2025-10-19T18:55:04Z,313,2,Finally United has a Goalkeeper !!!💪,0.5684
cWgBs2I51_w,Ugx3X81-1_uhG2j61_B4AaABAg,UCZwCeWLF8XtNKRejm0tfQMw,2025-10-19T18:31:40Z,2025-10-19T18:31:40Z,135,1,"Man United fans: ""What is this? My mouth is forming this upside down frown shape. Is this natural?!""",0.7451
cWgBs2I51_w,UgxZOhTdYtG_s0RSUYd4AaABAg,UCwRR3fDK6btEz5KWn22YPNQ,2025-10-19T19:23:14Z,2025-10-19T19:23:14Z,53,0,uniteds goalkeeper was crazy,-0.34
cWgBs2I51_w,UgyRSJ15Hb0AubEXKs54AaABAg,UCuWdzn4sPU-fEW8aHIg3nGw,2025-10-19T18:50:50Z,2025-10-19T18:50:50Z,75,1,Maguire… what a legend of the game.,0.0
cWgBs2I51_w,UgzrLPXIpmnjOf2xDuh4AaABAg,UCc0f1kTwddnMEyUaNZDLkXA,2025-10-19T20:43:23Z,2025-10-19T20:43:44Z,60,3,9:28 that one touch cross out of the air by Bruno is insane,-0.4019
cWgBs2I51_w,UgwOkf6GzILmq2Be6Tx4AaABAg,UCXxJWwIkcwOGzux3XMY4YVg,2025-10-19T18:31:21Z,2025-10-19T18:31:21Z,125,2,"First time Liverpool has lost four in a row in over a decade

First win for United at Anfield in a decade

First back-to-back wins under Amorim

Slabhead with the winner late

What a match",0.9153
cWgBs2I51_w,UgxNJdd9gubfUWlMt3R4AaABAg,UCMxs6HCKMhTDw3UMWOEDxFg,2025-10-19T18:23:00Z,2025-10-19T18:23:00Z,691,23,Gakpo turned into prime Darwin Nunez,0.0
cWgBs2I51_w,UgyIB9CrFyAEyH5h_yR4AaABAg,UCVpBxK1I-dIAz-lWty39PeQ,2025-10-19T21:32:26Z,2025-10-19T21:32:26Z,115,8,"Luis Diaz: I need a raise...
Liverpool: sorry we don't have any money
Luis Dias: ok I'm leaving
Liverpool: ok, lets go and spent $450 million in new signings 
Luis Diaz at Bayern 5 goals 4 assist
Ekitike, Wirtz, Isak, Kerkez, Frimpong : 3 goals 2 assist",0.2263
cWgBs2I51_w,Ugy-sugnyBAdUJXM8HZ4AaABAg,UCCX6D-HDssGi7AZeYcGYHUA,2025-10-19T18:37:28Z,2025-10-19T18:37:28Z,60,1,Harry freakin’ Maguire 😆🤣,0.6908
cWgBs2I51_w,UgzfgQLCsajzLBGt59h4AaABAg,UCWwfZEv0sR5ieV3ZqNNyRWQ,2025-10-19T18:37:38Z,2025-10-19T18:37:38Z,26,0,I can’t even begin to explain how happy this makes me,0.5719
cWgBs2I51_w,UgznDogVMTutiJYa8LF4AaABAg,UCdbFzoTSa3mh_UA4t0OoHmQ,2025-10-19T21:27:44Z,2025-10-19T21:27:44Z,31,1,Lammens is a great goalkeeper. Unlike the previous two,0.6249
