video_id,V_comments,reply_depth_mean,reply_like_intensity_mean,comment_mean_sent,reply_mean_sent,sent_divergence_mean,temperature_v1,n_reply_parents_sampled,n_replies_downloaded,order,title,channel_title,video_published_at,view_count,like_count,comment_count,video_url
cZuKoVpIc9E,300,8.132075471698114,6.816129032258065,0.1235533333333333,0.1785296774193548,0.0549763440860215,2.4310981797647364,30,310,relevance,Manchester City v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 11/9/2025 | NBC Sports,NBC Sports,2025-11-09T19:31:28Z,1162863.0,12824.0,1120.0,https://www.youtube.com/watch?v=cZuKoVpIc9E
KPz1ZgocW8c,300,8.166666666666666,2.642857142857143,0.2339306666666667,0.2333035714285714,0.0006270952380952,2.287925352692323,24,196,relevance,"""Liverpool won the title with less points than we had in the last two seasons""",Sky Sports Premier League,2025-05-07T16:00:33Z,579372.0,3761.0,1153.0,https://www.youtube.com/watch?v=KPz1ZgocW8c
m3cofWQwYUU,300,3.3,1.393939393939394,0.4785226666666666,0.1550151515151515,0.3235075151515151,2.11991543682916,30,99,relevance,Alexander-Arnold's EMOTIONAL Farewell to Liverpool 😢👋,Premier League,2025-05-25T19:25:48Z,2458620.0,65497.0,1463.0,https://www.youtube.com/watch?v=m3cofWQwYUU
cWgBs2I51_w,300,6.491803278688525,8.745874587458745,0.318822,0.1949379537953795,0.1238840462046204,2.440171774477847,30,303,relevance,Liverpool v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 10/19/2025 | NBC Sports,NBC Sports,2025-10-19T18:21:15Z,1284724.0,17018.0,1393.0,https://www.youtube.com/watch?v=cWgBs2I51_w
