video_id,comment_id,author_channel_id,published_at,updated_at,like_count,reply_count,text,sent_compound
cZuKoVpIc9E,Ugx9BKmzBu-MOieCiUd4AaABAg,UCwQkyIj8TEwFMAFPOIiNAAg,2025-11-10T03:06:57Z,2025-11-10T03:06:57Z,3,0,"Doku was always dangerous, I’m glad the Pep could put his racism behind and play a talented player regularly.",0.128
cZuKoVpIc9E,UgyXjO3Pomf_1LaU-zp4AaABAg,UCa7RyFBz85R6b2CiP6dpEnA,2025-12-14T12:04:06Z,2025-12-14T12:04:06Z,0,0,Wow Klopp was the real reason Man City vs Liverpool felt like a classico,0.743
cZuKoVpIc9E,UgzJBalCvZfpLcvsYYV4AaABAg,UCBUtqO_Ikfk14SJhnLJ3i9w,2025-11-09T19:45:53Z,2025-11-09T19:46:56Z,69,19,"Gonzalez has been absolutely elite, him, reijnders, and foden should stay as a midfield trio",0.0
cZuKoVpIc9E,Ugy-J16wyeKStiMLBLp4AaABAg,UCxH8wmjrKxg5be4yO7Rz9lg,2025-11-11T13:40:48Z,2025-11-11T13:40:48Z,1,0,Manchester city a étonné par l'intensité du jeu . Liverpool a étonné par le manque de concentration des défenseurs et de production des attaquants .,0.0
cZuKoVpIc9E,Ugy3ZO4E1cPRRBkalwN4AaABAg,UCvHnvguezwbrEEt5aZ9dscQ,2025-11-09T19:57:49Z,2025-11-09T19:57:49Z,32,2,What a dominant performance. City making a statement here.,0.0
cZuKoVpIc9E,Ugy1fB4zrkznlGu2gJN4AaABAg,UCI4oDXCmiWAztN_rfXPFW3g,2025-11-10T03:33:18Z,2025-11-10T03:34:24Z,0,0,Doku getting me crosseyed though the screen with those faints wtf,-0.5859
cZuKoVpIc9E,UgzQtU0_X0LuIhjNv0Z4AaABAg,UC1WxppEJiTJ-WSkX6pKjatw,2025-11-09T23:28:25Z,2025-11-09T23:28:25Z,7,0,Salah one season too long with this squad. He just ain't got it anymore in the PL,0.0
cZuKoVpIc9E,UgxgqHwxPXq2YGjw3WF4AaABAg,UCvqIrFJHLtsSVLNBHB6xJ8w,2025-11-10T06:18:42Z,2025-11-10T06:18:42Z,0,0,Doku played like the way the goat used to play for manu as a winger before going to Madrid. Very deadly,0.743
cZuKoVpIc9E,UgyziYCLet0RVcLCzlp4AaABAg,UCTgfDG7Jc-_tSTcGAQbSnIA,2025-11-09T21:47:05Z,2025-11-09T21:47:05Z,4,1,Doku's agility and explosiveness is unreal,0.0
cZuKoVpIc9E,UgzylJ_fPDo2Y1SdF814AaABAg,UC9RB32f864DD_kh5Q8UXqng,2025-11-10T07:02:58Z,2025-11-10T07:02:58Z,0,0,Doku slippery feet are absolutely dazzling to watch you just never know which way he cuts or slows the pace 😅,0.0772
cZuKoVpIc9E,UgzkjL5IGXa3sKnI2Fx4AaABAg,UCoAOwxj2rpzk8ZmI8GLH5MA,2025-11-09T19:35:05Z,2025-11-09T19:35:05Z,373,23,Erling Haaland now has 99 premier league goals and 17 assists in 108 premier league appearances. i repeat ERLING HAALAND NOW HAS 99 GOALS AND 17 ASSISTS IN 108 PREMIER LEAGUE APPEARANCE,0.0
