reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOThsxMqld-,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UC30gszyN4SM0mc7FFzGRP5w,2025-10-19T19:50:44Z,2025-10-19T19:50:44Z,15,"Maguire, is he still in England team?",cWgBs2I51_w,0.0
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTk9lMevF2,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UCvCTMvWT4ggxdZR3rhtHOdA,2025-10-19T20:10:38Z,2025-10-19T20:10:38Z,70,"On the flip side, salah was once a king but now a janitor.😂",cWgBs2I51_w,0.5927
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTl6kIygwZ,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UCHNMPyTqdgtGe_tMprmO_Qg,2025-10-19T20:18:58Z,2025-10-19T20:18:58Z,106,Maguire always shows up when needed,cWgBs2I51_w,0.0
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTlj45oZ9E,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UC2l09vGWCBhgHAcOqVK6rIg,2025-10-19T20:24:20Z,2025-10-19T20:24:20Z,9,​@rodrigoespinoza5809 u mean in those other games he was not needed? 😅😅😅😅,cWgBs2I51_w,0.6586
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTmM2760dW,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UCHNMPyTqdgtGe_tMprmO_Qg,2025-10-19T20:29:48Z,2025-10-19T20:29:48Z,24,⁠@DanielTadegejokes aside he’s not terrible and what I like about him is that he actually puts in effort regardless of how good he is which I can’t say for a lot of his teammates,cWgBs2I51_w,0.7878
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTmiL9N886,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UC9hlfMXGSagGFaemOZsNF9w,2025-10-19T20:32:58Z,2025-10-19T20:32:58Z,19,"@rodrigoespinoza5809he is absolutely clutch for united . Maguire always does something in random moments that have heavy impact like today , he against Lyon last year and there’s other moments too",cWgBs2I51_w,0.6771
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTnOvohHBU,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UC8cZMRKaTJH44uyZcZP9jzA,2025-10-19T20:38:56Z,2025-10-19T20:38:56Z,5,"I think these are his two permanent personalities 😂. Honestly, I admire that about him. He doesn't break down under all these jokes and continues to work.",cWgBs2I51_w,0.875
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTpui8kpvD,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UCOop8mMT2r1ecYeD3Jb1wWw,2025-10-19T21:00:53Z,2025-10-19T21:00:53Z,12,Since he's came back to form he really has been excellent. We never doubted his commitment but now we are seeing his class,cWgBs2I51_w,0.3175
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTsElwTuV_,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UCbgQEdxBD23ViXWKMZPhaFw,2025-10-19T21:21:14Z,2025-10-19T21:21:14Z,6,"@rodrigoespinoza5809, the slab.🤣🤣",cWgBs2I51_w,0.7506
Ugx7UOrvAo7xdM4Z1OF4AaABAg.AOTe7x9xcMrAOTuLwLtjnw,Ugx7UOrvAo7xdM4Z1OF4AaABAg,UC5YvTxFM28x_SJOV8HvQrRA,2025-10-19T21:39:41Z,2025-10-19T21:39:41Z,16,Best knee slide celly in the prem,cWgBs2I51_w,0.6369
