video_id,comment_id,author_channel_id,published_at,updated_at,like_count,reply_count,text,sent_compound
m3cofWQwYUU,UgzyZCN4CExqjZBDWbx4AaABAg,UCNDf0Ipoj4CZV5DF2419WvQ,2025-05-25T19:29:50Z,2025-05-25T19:29:50Z,1566,14,THANK YOU TRENT 🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹,0.4995
m3cofWQwYUU,UgxG8Rj5UBEDj8GaEF14AaABAg,UC1NES_kI2gSi2YqzFbrpVaQ,2025-05-25T22:41:07Z,2025-05-25T22:41:07Z,397,9,Corner taken quickly- that’s what I’ll always remember you as. Thank you so much for the memories Trent. All the best at Madrid (unless obv course they playing Liverpool),0.8176
m3cofWQwYUU,Ugw8ugyhrWlzZgky9rF4AaABAg,UCk14CMq0VprblP6dtAe5BcQ,2025-05-25T20:13:56Z,2025-07-26T18:46:04Z,992,14,"We wish you all the best Trent YNWA 66. I will never forget “corner taken quickly!!”

Bloody hell cheers for All the likes!❤",0.901
m3cofWQwYUU,UgyLbh6oakbrlf-lVO14AaABAg,UCBSPcNZ8TyBQ9NPcLvo2IeQ,2025-05-25T22:40:14Z,2025-05-25T22:40:14Z,121,2,I love Trent.. and wish him all the best..I hope his Madrid career is incredible..but I honestly think he should have stayed with us..his tears are real because he’s a Liverpool boy..and we are building for even greater things..he would have been the leader of that.❤,0.9559
m3cofWQwYUU,Ugyfj764MewCzMZrDmx4AaABAg,UCF6hDRPKrf8MwuPznxgRV0A,2025-05-25T19:42:12Z,2025-05-25T19:42:12Z,97,4,Home is where the heart is !,0.6696
m3cofWQwYUU,UgyhtQfsFQHwh75N93N4AaABAg,UCwkjpvw6gUEnr5eKOQsJApA,2025-05-26T13:52:03Z,2025-05-26T13:52:03Z,1,0,Thank You Trent! YNWA,0.4199
m3cofWQwYUU,UgyV2rEEhP-7Gu8_ZAt4AaABAg,UCzzgJVmEUI--kk0U7imLT7w,2025-05-25T19:55:48Z,2025-05-25T19:55:48Z,208,7,You will never walk alone goodbye Trent😢,-0.3313
m3cofWQwYUU,UgxHUnjXFQd6hZCAvix4AaABAg,UCpnUU4FufVYcXPF9wzINwdg,2025-06-14T02:24:52Z,2025-06-14T02:24:52Z,3,0,First person to have to be consoled due to crying but all without any tears,-0.0132
m3cofWQwYUU,UgwABR3pt-NXpw9NIKp4AaABAg,UCb11BIdvDCC7UjJUFFNQMSQ,2025-05-25T20:29:22Z,2025-05-25T20:29:22Z,370,5,He was a strong pillar of of the team. He left a big name.,0.5106
m3cofWQwYUU,Ugw-0EwDic8n4JgbPrR4AaABAg,UCDLqdJWu2Yb9Nru9VsdfupQ,2025-05-28T02:38:02Z,2025-05-28T02:38:02Z,74,0,"Im going to miss him wearing Liverpool red. This had to be such a tough decision for him. But, just like all young adults, he wants to spread his wings and explore. I cant fault him for that. He will always be one of my favorites. Good luck TAA, I wish the best for you.",0.9808
